LIBRARY,SOURCE,PDF_URL,LAST_ACCESSED
caret,cran,,
colorspace,cran,,
data.table,cran,,
diagrammer,cran,,
dplyr,cran,,
forcats,cran,,
ggmap,cran,,
ggplot2,cran,,
ggvis,cran,,
glmnet,cran,,
haven,cran,,
hmisc,cran,,
htmlwidgets,cran,,
igraph,cran,,
knitr,cran,,
korpus,cran,,
leaflet,cran,,
lme4,cran,,
lmer,cran,,
lubridate,cran,,
magrittr,cran,,
network3d,cran,,
party,cran,,
qdap,cran,,
quantmod,cran,,
randomforest,cran,,
rccp,cran,,
rcurl,cran,,
readr,cran,,
reshape2,cran,,
rmarkdown,cran,,
rmongodb,cran,,
rvest,cran,,
scales,cran,,
shiny,cran,,
stringr,cran,,
survival,cran,,
tidyr,cran,,
tigerstats,cran,,
xtable,cran,,
zoo,cran,,
pandas,other,http://pandas.pydata.org/pandas-docs/stable/pandas.pdf,
bleach,readthedocs,,
cx_freeze,readthedocs,,
flask ,readthedocs,,
flask-migrate,readthedocs,,
Flask-pymongo,readthedocs,,
ftfy,readthedocs,,
html5lib,readthedocs,,
htmlmin,readthedocs,,
praw,readthedocs,,
pyttsx,readthedocs,,
textblob,readthedocs,,
tweepy,readthedocs,,
twython,readthedocs,,
virtualenv,readthedocs,,
virtualenvwrapper,readthedocs,,
weasyprint,readthedocs,,
